Order #,Order Date,Item Id,Item,Category,Quantity,Item Price,Item End Time,Payment Date,Payment Amount,Tracking #,Tax,Additional Fee,Shipping Price,Handling Price,Donation,Shipped Date,Seller
20323199,10/8/2018,58314229,2pc Dungeon & Dragons Handbook & Master Guide,Books > Non-Fiction > Games & Puzzles,1,$34.00,10/8/2018,10/8/2018,$34.01,463354807651	,$0.00,$0.00,$0.01,$0.00,$0.00,10/12/2018,Goodwill of the Olympics and Rainier Region
20408726,10/18/2018,58728679,TUNNELS & TROLLS 30TH ANNIVERSARY EDITION GAME,Books > Non-Fiction > Games & Puzzles,1,$24.00,10/17/2018,10/26/2018,$30.17,9449015901950515062135	,$0.00,$0.00,$3.17,$3.00,$0.00,11/1/2018,"Goodwill Industries of Central East Texas, Inc."
20562904,11/3/2018,59502786,Dungeons & Dragons Player's Handbook Rulebook 3.5,Books > Non-Fiction > Games & Puzzles,1,$16.00,11/3/2018,11/3/2018,$19.17,9449015901950503089960	,$0.00,$0.00,$3.17,$0.00,$0.00,11/5/2018,Goodwill of Northern New England
20564717,11/3/2018,59655308,The Lord of the Rings Miniatures Starter Set,Toys/Dolls/Games > Games,1,$9.00,11/3/2018,11/3/2018,$18.38,460068971490	,$0.00,$0.00,$6.38,$3.00,$0.00,11/7/2018,Goodwill of Greater Washington D.C.
20579747,11/5/2018,59653492,Dungeons & Dragons 3.5 Monster Manual Book,Books > Non-Fiction > Games & Puzzles,1,$21.00,11/5/2018,11/5/2018,$29.75,466633220504	,$0.00,$0.00,$6.75,$2.00,$0.00,11/8/2018,Goodwill Industries of Denver
20589733,11/6/2018,59593362,Lord Of The Rings Adventure Game,Toys/Dolls/Games > Games,1,$14.22,11/6/2018,11/6/2018,$24.19,453501136362	,$0.00,$0.00,$6.98,$2.99,$0.00,11/8/2018,"Goodwill Industries of Central Illinois, Inc."
20597352,11/7/2018,59662223,Dungeons and Dragons Role Playing Starter Set,Books > Non-Fiction > Games & Puzzles,1,$28.69,11/7/2018,11/7/2018,$36.82,469841670936	,$0.00,$0.00,$5.13,$3.00,$0.00,11/8/2018,Goodwill Industries of the Inland Northwest
20601905,11/7/2018,59660656,Dungeons and Dragons Core Rulebook 1 v.3.5,Books > Fiction > Action,1,$15.99,11/7/2018,11/7/2018,$22.65,9449015901950481060623	,$0.00,$0.00,$2.66,$4.00,$0.00,11/13/2018,Goodwill Industries of Southern Arizona
20653170,11/13/2018,59993354,Nine Assorted Dungeons & Dragons Mini Figures,"Collectibles > Action Figures, Maquettes & Mini Busts",1,$22.00,11/13/2018,11/15/2018,$30.53,466857090986	,$0.00,$0.00,$5.04,$3.49,$0.00,11/24/2018,Goodwill of Silicon Valley
20728222,11/21/2018,60201189,Heroscape The Battle of All Time Game,Toys/Dolls/Games > Games,1,$22.01,11/20/2018,11/21/2018,$40.92,1Z1222W70398358438	,$0.00,$0.00,$15.92,$2.99,$0.00,11/23/2018,Goodwill-Easter Seals MN
20751136,11/23/2018,60265015,WizKids Mech Warrior Game Figures/Pieces,Toys/Dolls/Games > Games,1,$31.00,11/23/2018,11/30/2018,$35.00,	,$0.00,$0.00,$0.00,$4.00,$0.00,12/1/2018,Goodwill Industries of the Columbia Willamette
20755388,11/24/2018,60295152,Advanced Dungeons & Dragons Forgotten Realm Book,Books > Non-Fiction > Games & Puzzles,1,$18.99,11/23/2018,11/30/2018,$24.64,9449010898317034556866	,$0.00,$0.00,$2.66,$2.99,$0.00,12/5/2018,"Goodwill Industries of Central Illinois, Inc."
20778211,11/26/2018,60298905,Advanced Dungeons & Dragons Trading Cards Set,Collectibles > Sports Cards/Trading Cards,1,$9.99,11/23/2018,11/30/2018,$21.76,469453052988	,$0.00,$0.00,$9.77,$2.00,$0.00,12/5/2018,Easterseals-Goodwill Northern Rocky Mountain -SLC
20807402,11/30/2018,60300912,Dungeons & Dragons Wrath of Ashardalon Game,Toys/Dolls/Games > Games,1,$23.00,11/23/2018,11/30/2018,$27.00,	,$0.00,$0.00,$0.00,$4.00,$0.00,12/1/2018,Goodwill Industries of the Columbia Willamette
20837076,12/3/2018,60765009,"34 Dungeons & Dragon Figures, 1 Dice & Cards",Toys/Dolls/Games > Toys,1,$65.00,12/3/2018,12/3/2018,$75.00,472362765805	,$0.00,$0.00,$8.00,$2.00,$0.00,12/4/2018,Goodwill of Central & Southern Indiana
20864173,12/6/2018,60819189,5 Breyer Plastic Model Horses with Retail Boxes,Toys/Dolls/Games > Toys,1,$26.50,12/6/2018,12/6/2018,$30.50,	,$0.00,$0.00,$0.00,$4.00,$0.00,12/16/2018,Goodwill Industries of the Columbia Willamette
20984519,12/19/2018,61330334,Forgotten Realms Dragonlance R.A. Salvatore Books,Books,1,$15.00,12/19/2018,12/21/2018,$25.21,463347933270	,$0.00,$0.00,$7.71,$2.50,$0.00,12/26/2018,Goodwill Industries of Greater Cleveland & East Central Ohio
21053413,12/27/2018,61704742,"Dungeons & Dragons Books, Other RPG Books",Toys/Dolls/Games > Games,1,$41.77,12/27/2018,12/29/2018,$67.23,1Z1222W70395015492	,$0.00,$0.00,$22.47,$2.99,$0.00,1/2/2019,Goodwill-Easter Seals MN
21100231,1/2/2019,61892304,Dungeon & Dragons Loot Crate Original Collectible,Collectibles,1,$76.00,1/2/2019,1/2/2019,$86.84,468738999044	,$0.00,$0.00,$7.84,$3.00,$0.00,1/7/2019,Goodwill of Greater Grand Rapids
21111578,1/3/2019,61998234,Magic MTG Arena Planeswalkers Board Game +Expac,Toys/Dolls/Games > Games,1,$10.00,1/3/2019,1/3/2019,$25.28,784866203138	,$0.00,$0.00,$11.28,$4.00,$0.00,1/8/2019,Goodwill Industries of Lane & South Coast Counties
21189072,1/13/2019,62314275,Dungeons & Dragons The Legend of Drizzt Set,Toys/Dolls/Games > Games,1,$35.00,1/12/2019,1/21/2019,$46.25,480208103647	,$0.00,$0.00,$7.25,$4.00,$0.00,1/24/2019,Goodwill Industries of the Columbia Willamette
21189075,1/13/2019,62382390,Magic The Gathering Arena Of The Planeswalkers,Books > Non-Fiction > Games & Puzzles,1,$4.99,1/11/2019,1/13/2019,$15.57,480341132921	,$0.00,$0.00,$7.33,$3.25,$0.00,1/18/2019,Goodwill of Orange County
