Item,Sale,Agreed,Cost/Split,"Aged Price",Discounts,Paid,Sold,Amount,Check#
"Elric of Melnibone Core Rulebook RPG Mongoose Publishing  - 0EJ066",193590,75.00,85.00%,75.00,,08-04-2026,07-01-2026,63.75,
"Vtg Y2K Lace Jacket Size XL Black Open Front Ruffled Collar Witchy Vamp Gothic  - 0EJ0AG",193833,35.00,85.00%,35.00,,08-04-2026,07-02-2026,29.75,
"Blood Rage  - 0EJ039",193933,50.00,85.00%,50.00,,08-04-2026,07-03-2026,42.50,
"An Encyclopedia of Tolkien: The History and Mythology That Inspired Tolkien's World by David Day (Illustrated Edition)  - 0EJ08Q",194055,45.00,85.00%,45.00,,08-04-2026,07-03-2026,38.25,
"Shadowrun RPG 2e/3e Source book  - 0EJ07M",194116,15.00,85.00%,15.00,,08-04-2026,07-03-2026,12.75,
"Shadowrun RPG 2e/3e Source book  - 0EJ07M",194116,15.00,85.00%,15.00,,08-04-2026,07-03-2026,12.75,
"Tripp NYC Black Blue Strappy Convertible Wide Leg Cargo Pants  - 0EJ0AE",194879,125.00,85.00%,125.00,,08-04-2026,07-06-2026,106.25,
"Classiques Entier Leather Jacket - Women's M, Taupe Button-Front  - 0EJ06H",194954,95.00,85.00%,95.00,,08-04-2026,07-06-2026,80.75,
"Cyberpunk 2020 Chrome Book TTRPG Supplement R. Talsorian Games CP3701 Sealed  - 0EJ00P",195268,35.00,85.00%,35.00,,08-04-2026,07-08-2026,29.75,
"Pandemic  - 0EJ03Z",195589,15.00,85.00%,15.00,,08-04-2026,07-09-2026,12.75,
"Hucks General Felt Hat  - 0EJ0DC",195706,20.00,85.00%,20.00,,08-04-2026,07-10-2026,17.00,
"Black Felt Witch Hat with Crescent Moon and Bats  - 0EJ0D5",195808,20.00,85.00%,20.00,,08-04-2026,07-10-2026,17.00,
"Black Felt Witch Hat with Crescent Moon and Bats  - 0EJ0D5",195812,20.00,85.00%,20.00,,08-04-2026,07-10-2026,17.00,
"Black Felt Wide-Brim Hat with studded band  - 0EJ0DB",195894,20.00,85.00%,20.00,,08-04-2026,07-11-2026,17.00,
"Black Felt Cloche Hat with feather and ribbon  - 0EJ0D4",195894,20.00,85.00%,20.00,,08-04-2026,07-11-2026,17.00,
"Shadowrun RPG 2e/3e Source book  - 0EJ07M",196110,15.00,85.00%,15.00,,08-04-2026,07-11-2026,12.75,
"Shadowrun RPG 2e/3e Source book  - 0EJ07M",196110,15.00,85.00%,15.00,,08-04-2026,07-11-2026,12.75,
"Shadowrun RPG 2e/3e Source book  - 0EJ07M",196110,15.00,85.00%,15.00,,08-04-2026,07-11-2026,12.75,
"Shadowrun RPG 2e/3e Source book  - 0EJ07M",196110,15.00,85.00%,15.00,,08-04-2026,07-11-2026,12.75,
"Shadowrun RPG 2e/3e Source book  - 0EJ07M",196110,15.00,85.00%,15.00,,08-04-2026,07-11-2026,12.75,
"Vintage  Paperback Books J.R.R. Tolkien  - 0EJ09E",196292,15.00,85.00%,15.00,,08-04-2026,07-12-2026,12.75,
"Board Game Overboss  - 0EJ02Q",196581,19.00,85.00%,19.00,,08-04-2026,07-13-2026,16.15,
"Whistle Creek Wooden Walking Stick with Chrome Ball Handle  - 0EJ050",196896,45.00,85.00%,45.00,,08-04-2026,07-14-2026,38.25,
